Title,Country,Date,Time,Impact,Forecast,Previous,URL
French Flash Manufacturing PMI,EUR,2010-01-21,08:00,Medium,55.0,54.7,https://www.forexfactory.com/calendar?day=jan21.2010
French Flash Services PMI,EUR,2010-01-21,,Medium,59.2,58.7,https://www.forexfactory.com/calendar?day=jan21.2010
German Flash Manufacturing PMI,EUR,2010-01-21,08:30,Medium,53.0,52.7,https://www.forexfactory.com/calendar?day=jan21.2010
German Flash Services PMI,EUR,2010-01-21,,Medium,53.1,52.7,https://www.forexfactory.com/calendar?day=jan21.2010
ECB Monthly Bulletin,EUR,2010-01-21,09:00,Medium,,,https://www.forexfactory.com/calendar?day=jan21.2010
Flash Manufacturing PMI,EUR,2010-01-21,,Medium,52.0,51.6,https://www.forexfactory.com/calendar?day=jan21.2010
Flash Services PMI,EUR,2010-01-21,,Medium,54.1,53.6,https://www.forexfactory.com/calendar?day=jan21.2010
Prelim Mortgage Approvals,GBP,2010-01-21,09:30,Medium,65K,63K,https://www.forexfactory.com/calendar?day=jan21.2010
Public Sector Net Borrowing,GBP,2010-01-21,,Medium,18.6B,18.7B,https://www.forexfactory.com/calendar?day=jan21.2010
M4 Money Supply m/m,GBP,2010-01-21,,Low,1.0%,0.1%,https://www.forexfactory.com/calendar?day=jan21.2010
UBS Economic Expectations,CHF,2010-01-21,10:00,Medium,,54.0,https://www.forexfactory.com/calendar?day=jan21.2010
German Buba President Weber Speaks,EUR,2010-01-21,,Medium,,,https://www.forexfactory.com/calendar?day=jan21.2010
10-y Bond Auction,GBP,2010-01-21,10:41,Medium,,3.79|1.8,https://www.forexfactory.com/calendar?day=jan21.2010
CBI Industrial Order Expectations,GBP,2010-01-21,11:00,Medium,-39,-42,https://www.forexfactory.com/calendar?day=jan21.2010
ECB President Trichet Speaks,EUR,2010-01-21,12:00,Medium,,,https://www.forexfactory.com/calendar?day=jan21.2010
Wholesale Sales m/m,CAD,2010-01-21,13:30,Medium,0.4%,0.5%,https://www.forexfactory.com/calendar?day=jan21.2010
Unemployment Claims,USD,2010-01-21,,High,441K,446K,https://www.forexfactory.com/calendar?day=jan21.2010
Consumer Confidence,EUR,2010-01-21,15:00,Low,-15,-16,https://www.forexfactory.com/calendar?day=jan21.2010
Philly Fed Manufacturing Index,USD,2010-01-21,,High,18.1,20.4,https://www.forexfactory.com/calendar?day=jan21.2010
CB Leading Index m/m,USD,2010-01-21,,Low,0.7%,1.0%,https://www.forexfactory.com/calendar?day=jan21.2010
BOC Monetary Policy Report,CAD,2010-01-21,15:30,High,,,https://www.forexfactory.com/calendar?day=jan21.2010
Natural Gas Storage,USD,2010-01-21,,Low,-214B,-266B,https://www.forexfactory.com/calendar?day=jan21.2010
Crude Oil Inventories,USD,2010-01-21,16:00,Medium,2.2M,3.7M,https://www.forexfactory.com/calendar?day=jan21.2010
President Obama Speaks,USD,2010-01-21,16:14,High,,,https://www.forexfactory.com/calendar?day=jan21.2010
BOC Press Conference,CAD,2010-01-21,16:15,High,,,https://www.forexfactory.com/calendar?day=jan21.2010
MPC Member Tucker Speaks,GBP,2010-01-21,18:30,Medium,,,https://www.forexfactory.com/calendar?day=jan21.2010
Import Prices q/q,AUD,2010-01-22,00:30,Medium,-1.8%,-3.0%,https://www.forexfactory.com/calendar?day=jan21.2010
All Industries Activity m/m,JPY,2010-01-22,04:30,Low,0.1%,1.1%,https://www.forexfactory.com/calendar?day=jan22.2010
BOJ Gov Shirakawa Speaks,JPY,2010-01-22,07:10,Medium,,,https://www.forexfactory.com/calendar?day=jan22.2010
Retail Sales m/m,GBP,2010-01-22,09:30,High,1.3%,-0.3%,https://www.forexfactory.com/calendar?day=jan22.2010
Industrial New Orders m/m,EUR,2010-01-22,10:00,Medium,0.6%,-1.9%,https://www.forexfactory.com/calendar?day=jan22.2010
Core Retail Sales m/m,CAD,2010-01-22,13:30,High,0.3%,0.3%,https://www.forexfactory.com/calendar?day=jan22.2010
Retail Sales m/m,CAD,2010-01-22,,Medium,-0.3%,1.0%,https://www.forexfactory.com/calendar?day=jan22.2010
Belgian NBB Business Climate,EUR,2010-01-22,14:00,Medium,-7.0,-7.9,https://www.forexfactory.com/calendar?day=jan22.2010
PPI q/q,AUD,2010-01-25,00:30,High,0.1%,0.1%,https://www.forexfactory.com/calendar?day=jan24.2010
German GfK Consumer Climate,EUR,2010-01-25,07:00,Medium,3.2,3.4,https://www.forexfactory.com/calendar?day=jan25.2010
Existing Home Sales,USD,2010-01-25,15:00,High,5.95M,6.54M,https://www.forexfactory.com/calendar?day=jan25.2010
Bank Holiday,AUD,2010-01-25,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan25.2010
SPPI y/y,JPY,2010-01-25,23:50,Low,-1.4%,-2.2%,https://www.forexfactory.com/calendar?day=jan25.2010
Credit Card Spending y/y,NZD,2010-01-26,02:00,Low,,1.5%,https://www.forexfactory.com/calendar?day=jan25.2010
Monetary Policy Statement,JPY,2010-01-26,03:26,Medium,,,https://www.forexfactory.com/calendar?day=jan26.2010
Overnight Call Rate,JPY,2010-01-26,,Medium,0.10%,0.10%,https://www.forexfactory.com/calendar?day=jan26.2010
UBS Consumption Indicator,CHF,2010-01-26,07:00,Medium,,1.26,https://www.forexfactory.com/calendar?day=jan26.2010
German Import Prices m/m,EUR,2010-01-26,,Low,0.1%,0.4%,https://www.forexfactory.com/calendar?day=jan26.2010
BOJ Press Conference,JPY,2010-01-26,07:19,High,,,https://www.forexfactory.com/calendar?day=jan26.2010
French Consumer Spending m/m,EUR,2010-01-26,07:45,Medium,0.7%,0.1%,https://www.forexfactory.com/calendar?day=jan26.2010
German ifo Business Climate,EUR,2010-01-26,09:00,High,95.2,94.6,https://www.forexfactory.com/calendar?day=jan26.2010
Current Account,EUR,2010-01-26,,Medium,-3.1B,-4.6B,https://www.forexfactory.com/calendar?day=jan26.2010
Italian Retail Sales m/m,EUR,2010-01-26,,Low,0.1%,0.0%,https://www.forexfactory.com/calendar?day=jan26.2010
Prelim GDP q/q,GBP,2010-01-26,09:30,High,0.4%,-0.2%,https://www.forexfactory.com/calendar?day=jan26.2010
High Street Lending,GBP,2010-01-26,,Medium,46.0K,45.0K,https://www.forexfactory.com/calendar?day=jan26.2010
Index of Services 3m/3m,GBP,2010-01-26,,Low,0.4%,-0.2%,https://www.forexfactory.com/calendar?day=jan26.2010
BOE Gov King Speaks,GBP,2010-01-26,09:45,High,,,https://www.forexfactory.com/calendar?day=jan26.2010
S&P/CS Composite-20 HPI y/y,USD,2010-01-26,14:00,Medium,-4.9%,-7.3%,https://www.forexfactory.com/calendar?day=jan26.2010
Richmond Manufacturing Index,USD,2010-01-26,14:59,Low,0,-4,https://www.forexfactory.com/calendar?day=jan26.2010
CB Consumer Confidence,USD,2010-01-26,15:00,High,53.6,53.6,https://www.forexfactory.com/calendar?day=jan26.2010
HPI m/m,USD,2010-01-26,,Low,0.5%,0.4%,https://www.forexfactory.com/calendar?day=jan26.2010
MI Leading Index m/m,AUD,2010-01-26,23:30,Medium,,0.5%,https://www.forexfactory.com/calendar?day=jan26.2010
Trade Balance,JPY,2010-01-26,23:50,Medium,0.61T,0.52T,https://www.forexfactory.com/calendar?day=jan26.2010
CPI q/q,AUD,2010-01-27,00:30,High,0.4%,1.0%,https://www.forexfactory.com/calendar?day=jan26.2010
Trimmed Mean CPI q/q,AUD,2010-01-26,,Medium,0.6%,0.8%,https://www.forexfactory.com/calendar?day=jan26.2010
BOJ Monthly Report,JPY,2010-01-27,05:00,Medium,,,https://www.forexfactory.com/calendar?day=jan27.2010
German Prelim CPI m/m,EUR,2010-01-27,All Day,Medium,-0.2%,0.8%,https://www.forexfactory.com/calendar?day=jan27.2010
German 30-y Bond Auction,EUR,2010-01-27,08:46,Low,,3.84|1.6,https://www.forexfactory.com/calendar?day=jan27.2010
WEF Annual Meetings,All,2010-01-27,Day 1,Medium,,,https://www.forexfactory.com/calendar?day=jan27.2010
MPC Member Sentance Speaks,GBP,2010-01-27,09:30,Medium,,,https://www.forexfactory.com/calendar?day=jan27.2010
CBI Realized Sales,GBP,2010-01-27,11:00,High,11,13,https://www.forexfactory.com/calendar?day=jan27.2010
New Home Sales,USD,2010-01-27,15:00,High,372K,370K,https://www.forexfactory.com/calendar?day=jan27.2010
Treasury Sec Geithner Speaks,USD,2010-01-27,,Medium,,,https://www.forexfactory.com/calendar?day=jan27.2010
Crude Oil Inventories,USD,2010-01-27,15:30,Medium,1.4M,-0.4M,https://www.forexfactory.com/calendar?day=jan27.2010
Federal Funds Rate,USD,2010-01-27,19:16,High,<0.25%,<0.25%,https://www.forexfactory.com/calendar?day=jan27.2010
FOMC Statement,USD,2010-01-27,,High,,,https://www.forexfactory.com/calendar?day=jan27.2010
Official Cash Rate,NZD,2010-01-27,20:00,High,2.50%,2.50%,https://www.forexfactory.com/calendar?day=jan27.2010
RBNZ Rate Statement,NZD,2010-01-27,,High,,,https://www.forexfactory.com/calendar?day=jan27.2010
Retail Sales y/y,JPY,2010-01-27,23:50,Medium,0.3%,-1.1%,https://www.forexfactory.com/calendar?day=jan27.2010
President Obama Speaks,USD,2010-01-28,02:00,Medium,,,https://www.forexfactory.com/calendar?day=jan27.2010
German Unemployment Change,EUR,2010-01-28,08:55,Medium,17K,-3K,https://www.forexfactory.com/calendar?day=jan28.2010
Retail PMI,EUR,2010-01-28,09:00,Low,,50.3,https://www.forexfactory.com/calendar?day=jan28.2010
WEF Annual Meetings,All,2010-01-28,Day 2,Medium,,,https://www.forexfactory.com/calendar?day=jan28.2010
Italian 10-y Bond Auction,EUR,2010-01-28,10:26,Medium,,4.07|1.5,https://www.forexfactory.com/calendar?day=jan28.2010
ECB President Trichet Speaks,EUR,2010-01-28,13:30,Medium,,,https://www.forexfactory.com/calendar?day=jan28.2010
Core Durable Goods Orders m/m,USD,2010-01-28,,High,0.4%,2.1%,https://www.forexfactory.com/calendar?day=jan28.2010
Unemployment Claims,USD,2010-01-28,,High,451K,478K,https://www.forexfactory.com/calendar?day=jan28.2010
Durable Goods Orders m/m,USD,2010-01-28,,Medium,2.1%,-0.4%,https://www.forexfactory.com/calendar?day=jan28.2010
Treasury Sec Geithner Speaks,USD,2010-01-28,14:45,Medium,,,https://www.forexfactory.com/calendar?day=jan28.2010
Natural Gas Storage,USD,2010-01-28,15:30,Low,-102B,-245B,https://www.forexfactory.com/calendar?day=jan28.2010
Fed Chairman Nomination Vote,USD,2010-01-28,20:59,High,Pass,,https://www.forexfactory.com/calendar?day=jan28.2010
Building Consents m/m,NZD,2010-01-28,21:45,High,,0.1%,https://www.forexfactory.com/calendar?day=jan28.2010
Trade Balance,NZD,2010-01-28,,Medium,-115M,-276M,https://www.forexfactory.com/calendar?day=jan28.2010
CB Leading Index m/m,AUD,2010-01-28,23:00,Medium,,-0.3%,https://www.forexfactory.com/calendar?day=jan28.2010
Final Manufacturing PMI,JPY,2010-01-28,23:15,Low,,53.8,https://www.forexfactory.com/calendar?day=jan28.2010
Household Spending y/y,JPY,2010-01-28,23:30,Medium,1.6%,2.2%,https://www.forexfactory.com/calendar?day=jan28.2010
Tokyo Core CPI y/y,JPY,2010-01-28,,Medium,-1.8%,-1.9%,https://www.forexfactory.com/calendar?day=jan28.2010
National Core CPI y/y,JPY,2010-01-28,,Low,-1.3%,-1.7%,https://www.forexfactory.com/calendar?day=jan28.2010
Unemployment Rate,JPY,2010-01-28,,Low,5.3%,5.2%,https://www.forexfactory.com/calendar?day=jan28.2010
Monetary Policy Meeting Minutes,JPY,2010-01-28,23:50,Medium,,,https://www.forexfactory.com/calendar?day=jan28.2010
Monetary Policy Meeting Minutes,JPY,2010-01-28,,Medium,,,https://www.forexfactory.com/calendar?day=jan28.2010
Prelim Industrial Production m/m,JPY,2010-01-28,,Medium,2.5%,2.2%,https://www.forexfactory.com/calendar?day=jan28.2010
GfK Consumer Confidence,GBP,2010-01-29,00:01,Medium,-18,-19,https://www.forexfactory.com/calendar?day=jan28.2010
Private Sector Credit m/m,AUD,2010-01-29,00:30,Medium,0.1%,0.1%,https://www.forexfactory.com/calendar?day=jan28.2010
BOJ Gov Shirakawa Speaks,JPY,2010-01-29,03:30,Medium,,,https://www.forexfactory.com/calendar?day=jan29.2010
Housing Starts y/y,JPY,2010-01-29,05:00,Low,-18.8%,-19.1%,https://www.forexfactory.com/calendar?day=jan29.2010
Nationwide HPI m/m,GBP,2010-01-29,07:00,High,0.4%,0.5%,https://www.forexfactory.com/calendar?day=jan29.2010
Spanish Unemployment Rate,EUR,2010-01-29,08:00,Medium,18.6%,17.9%,https://www.forexfactory.com/calendar?day=jan29.2010
M3 Money Supply y/y,EUR,2010-01-29,09:02,Medium,-0.6%,-0.3%,https://www.forexfactory.com/calendar?day=jan29.2010
Private Loans y/y,EUR,2010-01-29,,Low,-0.4%,-0.7%,https://www.forexfactory.com/calendar?day=jan29.2010
WEF Annual Meetings,All,2010-01-29,Day 3,Medium,,,https://www.forexfactory.com/calendar?day=jan29.2010
CPI Flash Estimate y/y,EUR,2010-01-29,10:00,Medium,1.2%,0.9%,https://www.forexfactory.com/calendar?day=jan29.2010
Unemployment Rate,EUR,2010-01-29,,Medium,10.1%,9.9%,https://www.forexfactory.com/calendar?day=jan29.2010
Italian Monthly Unemployment Rate,EUR,2010-01-29,,Low,8.4%,8.3%,https://www.forexfactory.com/calendar?day=jan29.2010
KOF Economic Barometer,CHF,2010-01-29,10:30,High,1.72,1.73,https://www.forexfactory.com/calendar?day=jan29.2010
FOMC Member Kohn Speaks,USD,2010-01-29,13:15,Medium,,,https://www.forexfactory.com/calendar?day=jan29.2010
GDP m/m,CAD,2010-01-29,13:30,High,0.3%,0.3%,https://www.forexfactory.com/calendar?day=jan29.2010
RMPI m/m,CAD,2010-01-29,,Medium,1.4%,2.2%,https://www.forexfactory.com/calendar?day=jan29.2010
IPPI m/m,CAD,2010-01-29,,Low,0.5%,0.9%,https://www.forexfactory.com/calendar?day=jan29.2010
Advance GDP q/q,USD,2010-01-29,,High,4.5%,2.2%,https://www.forexfactory.com/calendar?day=jan29.2010
Advance GDP Price Index q/q,USD,2010-01-29,,Medium,1.3%,0.4%,https://www.forexfactory.com/calendar?day=jan29.2010
Employment Cost Index q/q,USD,2010-01-29,,Medium,0.4%,0.4%,https://www.forexfactory.com/calendar?day=jan29.2010
Chicago PMI,USD,2010-01-29,14:45,Medium,57.3,60.0,https://www.forexfactory.com/calendar?day=jan29.2010
Revised UoM Consumer Sentiment,USD,2010-01-29,14:55,Medium,73.1,72.8,https://www.forexfactory.com/calendar?day=jan29.2010
Revised UoM Inflation Expectations,USD,2010-01-29,,Low,,2.8%,https://www.forexfactory.com/calendar?day=jan29.2010
WEF Annual Meetings,All,2010-01-30,Day 4,Medium,,,https://www.forexfactory.com/calendar?day=jan30.2010
WEF Annual Meetings,All,2010-01-31,Day 5,Medium,,,https://www.forexfactory.com/calendar?day=jan31.2010
AIG Manufacturing Index,AUD,2010-01-31,22:30,Low,,48.5,https://www.forexfactory.com/calendar?day=jan31.2010
MI Inflation Gauge m/m,AUD,2010-01-31,23:30,Low,,0.3%,https://www.forexfactory.com/calendar?day=jan31.2010
HIA New Home Sales m/m,AUD,2010-02-01,00:26,Medium,,0.3%,https://www.forexfactory.com/calendar?day=jan31.2010
ANZ Job Advertisements m/m,AUD,2010-02-01,00:30,Medium,,4.6%,https://www.forexfactory.com/calendar?day=jan31.2010
HPI q/q,AUD,2010-01-31,,Medium,3.7%,4.4%,https://www.forexfactory.com/calendar?day=jan31.2010
Manufacturing PMI,CNY,2010-02-01,00:59,High,56.5,56.6,https://www.forexfactory.com/calendar?day=jan31.2010
ANZ Commodity Prices m/m,NZD,2010-02-01,02:02,Low,,2.6%,https://www.forexfactory.com/calendar?day=jan31.2010
RatingDog Manufacturing PMI,CNY,2010-02-01,02:30,Medium,,56.1,https://www.forexfactory.com/calendar?day=jan31.2010
Commodity Prices y/y,AUD,2010-02-01,05:35,Medium,,-15.7%,https://www.forexfactory.com/calendar?day=feb1.2010
Spanish Manufacturing PMI,EUR,2010-02-01,08:15,Medium,,45.2,https://www.forexfactory.com/calendar?day=feb1.2010
Manufacturing PMI,CHF,2010-02-01,08:30,Medium,55.4,54.6,https://www.forexfactory.com/calendar?day=feb1.2010
Italian Manufacturing PMI,EUR,2010-02-01,08:45,Low,51.2,50.8,https://www.forexfactory.com/calendar?day=feb1.2010
French Final Manufacturing PMI,EUR,2010-02-01,08:50,Low,54.7,54.7,https://www.forexfactory.com/calendar?day=feb1.2010
German Final Manufacturing PMI,EUR,2010-02-01,08:55,Low,53.4,53.4,https://www.forexfactory.com/calendar?day=feb1.2010
Final Manufacturing PMI,EUR,2010-02-01,09:00,Low,52.0,52.0,https://www.forexfactory.com/calendar?day=feb1.2010
Final Manufacturing PMI,GBP,2010-02-01,09:30,High,54.1,54.6,https://www.forexfactory.com/calendar?day=feb1.2010
Net Lending to Individuals m/m,GBP,2010-02-01,,Medium,1.2B,1.2B,https://www.forexfactory.com/calendar?day=feb1.2010
Mortgage Approvals,GBP,2010-02-01,,Low,62K,60K,https://www.forexfactory.com/calendar?day=feb1.2010
Core PCE Price Index m/m,USD,2010-02-01,13:30,Medium,0.1%,0.0%,https://www.forexfactory.com/calendar?day=feb1.2010
Personal Spending m/m,USD,2010-02-01,,Medium,0.3%,0.7%,https://www.forexfactory.com/calendar?day=feb1.2010
Personal Income m/m,USD,2010-02-01,,Low,0.4%,0.5%,https://www.forexfactory.com/calendar?day=feb1.2010
ISM Manufacturing PMI,USD,2010-02-01,15:00,High,55.5,55.9,https://www.forexfactory.com/calendar?day=feb1.2010
Treasury Sec Geithner Speaks,USD,2010-02-01,,Medium,,,https://www.forexfactory.com/calendar?day=feb1.2010
Construction Spending m/m,USD,2010-02-01,,Low,-0.4%,-1.2%,https://www.forexfactory.com/calendar?day=feb1.2010
ISM Manufacturing Prices,USD,2010-02-01,,Low,63.0,61.5,https://www.forexfactory.com/calendar?day=feb1.2010
Loan Officer Survey,USD,2010-02-01,19:00,Low,,,https://www.forexfactory.com/calendar?day=feb1.2010
Labor Cost Index q/q,NZD,2010-02-01,21:45,High,0.5%,0.4%,https://www.forexfactory.com/calendar?day=feb1.2010
Monetary Base y/y,JPY,2010-02-01,23:50,Low,4.9%,5.2%,https://www.forexfactory.com/calendar?day=feb1.2010
NAB Business Confidence,AUD,2010-02-02,00:30,Medium,,19,https://www.forexfactory.com/calendar?day=feb1.2010
Average Cash Earnings y/y,JPY,2010-02-02,01:30,Medium,-2.6%,-2.4%,https://www.forexfactory.com/calendar?day=feb1.2010
Cash Rate,AUD,2010-02-02,03:30,High,4.00%,3.75%,https://www.forexfactory.com/calendar?day=feb2.2010
RBA Rate Statement,AUD,2010-02-02,,High,,,https://www.forexfactory.com/calendar?day=feb2.2010
10-y Bond Auction,JPY,2010-02-02,03:45,Low,,1.34|2.6,https://www.forexfactory.com/calendar?day=feb2.2010
SECO Consumer Climate,CHF,2010-02-02,06:45,Medium,-10,-14,https://www.forexfactory.com/calendar?day=feb2.2010
German Retail Sales m/m,EUR,2010-02-02,07:00,Medium,0.9%,-1.7%,https://www.forexfactory.com/calendar?day=feb2.2010
Spanish Unemployment Change,EUR,2010-02-02,08:00,Medium,,54.7K,https://www.forexfactory.com/calendar?day=feb2.2010
Construction PMI,GBP,2010-02-02,09:30,Medium,47.7,47.1,https://www.forexfactory.com/calendar?day=feb2.2010
PPI m/m,EUR,2010-02-02,10:00,Low,0.0%,0.2%,https://www.forexfactory.com/calendar?day=feb2.2010
GDT Price Index,NZD,2010-02-02,13:30,Low,,-5.4%,https://www.forexfactory.com/calendar?day=feb2.2010
Pending Home Sales m/m,USD,2010-02-02,15:00,High,0.4%,-16.4%,https://www.forexfactory.com/calendar?day=feb2.2010
Treasury Sec Geithner Speaks,USD,2010-02-02,,Medium,,,https://www.forexfactory.com/calendar?day=feb2.2010
Total Vehicle Sales,USD,2010-02-02,All Day,Low,11.1M,11.3M,https://www.forexfactory.com/calendar?day=feb2.2010
AIG Services Index,AUD,2010-02-02,22:30,Medium,,50.0,https://www.forexfactory.com/calendar?day=feb2.2010
Nationwide Consumer Confidence,GBP,2010-02-03,00:01,Medium,70,70,https://www.forexfactory.com/calendar?day=feb2.2010
BRC Shop Price Index y/y,GBP,2010-02-02,,Low,,2.2%,https://www.forexfactory.com/calendar?day=feb2.2010
Goods Trade Balance,AUD,2010-02-03,00:30,High,-2.36B,-1.73B,https://www.forexfactory.com/calendar?day=feb2.2010
Non-Manufacturing PMI,CNY,2010-02-03,01:00,Low,,57.5,https://www.forexfactory.com/calendar?day=feb2.2010
Spanish Services PMI,EUR,2010-02-03,08:15,Low,,45.0,https://www.forexfactory.com/calendar?day=feb3.2010
Italian Services PMI,EUR,2010-02-03,08:45,Low,52.9,53.9,https://www.forexfactory.com/calendar?day=feb3.2010
French Final Services PMI,EUR,2010-02-03,08:50,Low,57.0,57.0,https://www.forexfactory.com/calendar?day=feb3.2010
German Final Services PMI,EUR,2010-02-03,08:55,Low,51.2,51.2,https://www.forexfactory.com/calendar?day=feb3.2010
Final Services PMI,EUR,2010-02-03,09:00,Low,52.3,52.3,https://www.forexfactory.com/calendar?day=feb3.2010
Final Services PMI,GBP,2010-02-03,09:30,High,56.6,56.8,https://www.forexfactory.com/calendar?day=feb3.2010
Retail Sales m/m,EUR,2010-02-03,10:00,Medium,0.4%,-0.5%,https://www.forexfactory.com/calendar?day=feb3.2010
Challenger Job Cuts y/y,USD,2010-02-03,12:30,Low,,-72.9%,https://www.forexfactory.com/calendar?day=feb3.2010
ADP Non-Farm Employment Change,USD,2010-02-03,13:15,High,-31K,-61K,https://www.forexfactory.com/calendar?day=feb3.2010
ISM Services PMI,USD,2010-02-03,15:00,High,51.1,50.1,https://www.forexfactory.com/calendar?day=feb3.2010
Treasury Sec Geithner Speaks,USD,2010-02-03,,Low,,,https://www.forexfactory.com/calendar?day=feb3.2010
Crude Oil Inventories,USD,2010-02-03,15:30,Medium,0.4M,-3.9M,https://www.forexfactory.com/calendar?day=feb3.2010
FOMC Member Warsh Speaks,USD,2010-02-03,17:00,Medium,,,https://www.forexfactory.com/calendar?day=feb3.2010
Employment Change q/q,NZD,2010-02-03,21:45,High,-0.1%,-0.8%,https://www.forexfactory.com/calendar?day=feb3.2010
Unemployment Rate,NZD,2010-02-03,,High,6.8%,6.5%,https://www.forexfactory.com/calendar?day=feb3.2010
Visitor Arrivals m/m,NZD,2010-02-03,,Low,,-4.7%,https://www.forexfactory.com/calendar?day=feb3.2010
Building Approvals m/m,AUD,2010-02-04,00:30,High,-0.2%,10.4%,https://www.forexfactory.com/calendar?day=feb3.2010
Retail Sales m/m,AUD,2010-02-03,,High,0.3%,1.5%,https://www.forexfactory.com/calendar?day=feb3.2010
